Scheme Name	Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	108.5859
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.4303
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	104.162
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	152.4078
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.1266
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	102.0465
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113.3177
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	103.1856
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	371.058
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	557.0084
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	385.4169
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2756.4130
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1037.9067
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.8246
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2671.2963
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1037.6587
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.8064
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9903
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.6641
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.5449
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.5449
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.6641
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9191
Bandhan Banking and PSU Fund - Direct Annual IDCW	12.4976
Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4747
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4517
Bandhan Banking and PSU Fund - Direct Growth	25.6848
Bandhan Banking and PSU Fund - Direct IDCW	13.5109
Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4778
Bandhan Banking and PSU Fund - Direct Quarterly IDCW	11.0138
Bandhan Banking and PSU Fund - Regular Annual IDCW	11.4889
Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8765
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6074
Bandhan Banking and PSU Fund - Regular Growth	24.9396
Bandhan Banking and PSU Fund - Regular IDCW	13.4672
Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.7207
Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.9073
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.4690
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	13.0939
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.6252
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.7970
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.2919
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.4000
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.3168
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.8513
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.2027
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.7649
DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.199
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.6269
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1889
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.4101
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.4656
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1953
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.3213
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.6113
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1879
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3952
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.4535
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1949
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.8672
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.8025
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5319
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.9488
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5521
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	24.9459
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	17.9394
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option	14.059
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1912
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1471
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.8045
Franklin India Banking & PSU Debt Fund - Growth	22.7683
Franklin India Banking and PSU Debt Fund - Direct - IDCW	11.4500
Franklin India Banking and PSU Debt Fund - IDCW	10.8330
HDFC Banking and PSU Debt Fund - Growth Option	23.2825
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.2644
HDFC Banking and PSU Debt Fund - IDCW Option	10.2135
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0343
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	25.9244
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3589
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3462
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.5951
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6143
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3191
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.5814
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.9333
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.1486
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.9500
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1051.083
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2458.4877
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.212
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1015.0294
